id,Name,Status,Species,Type,Gender,Origin,Location,Image,No_of_episode
1,Rick Sanchez,Alive,Human,,Male,Earth (C-137),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/1.jpeg,51
2,Morty Smith,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/2.jpeg,51
3,Summer Smith,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/3.jpeg,42
4,Beth Smith,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/4.jpeg,42
5,Jerry Smith,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/5.jpeg,39
6,Abadango Cluster Princess,Alive,Alien,,Female,Abadango,Abadango,https://rickandmortyapi.com/api/character/avatar/6.jpeg,1
7,Abradolf Lincler,unknown,Human,Genetic experiment,Male,Earth (Replacement Dimension),Testicle Monster Dimension,https://rickandmortyapi.com/api/character/avatar/7.jpeg,2
8,Adjudicator Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/8.jpeg,1
9,Agency Director,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/9.jpeg,1
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/10.jpeg,1
11,Albert Einstein,Dead,Human,,Male,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/11.jpeg,1
12,Alexander,Dead,Human,,Male,Earth (C-137),Anatomy Park,https://rickandmortyapi.com/api/character/avatar/12.jpeg,1
13,Alien Googah,unknown,Alien,,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/13.jpeg,1
14,Alien Morty,unknown,Alien,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/14.jpeg,1
15,Alien Rick,unknown,Alien,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/15.jpeg,1
16,Amish Cyborg,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/16.jpeg,1
17,Annie,Alive,Human,,Female,Earth (C-137),Anatomy Park,https://rickandmortyapi.com/api/character/avatar/17.jpeg,1
18,Antenna Morty,Alive,Human,Human with antennae,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/18.jpeg,2
19,Antenna Rick,unknown,Human,Human with antennae,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/19.jpeg,1
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/20.jpeg,1
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/21.jpeg,2
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/22.jpeg,3
23,Arcade Alien,unknown,Alien,,Male,unknown,Immortality Field Resort,https://rickandmortyapi.com/api/character/avatar/23.jpeg,5
24,Armagheadon,Alive,Alien,Cromulon,Male,Signus 5 Expanse,Signus 5 Expanse,https://rickandmortyapi.com/api/character/avatar/24.jpeg,1
25,Armothy,Dead,unknown,Self-aware arm,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/25.jpeg,1
26,Arthricia,Alive,Alien,Cat-Person,Female,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/26.jpeg,1
27,Artist Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/27.jpeg,2
28,Attila Starwar,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/28.jpeg,3
29,Baby Legs,Alive,Human,Human with baby legs,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/29.jpeg,1
30,Baby Poopybutthole,Alive,Poopybutthole,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/30.jpeg,1
31,Baby Wizard,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/31.jpeg,1
32,Bearded Lady,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/32.jpeg,1
33,Beebo,Dead,Alien,,Male,Venzenulon 7,Venzenulon 7,https://rickandmortyapi.com/api/character/avatar/33.jpeg,1
34,Benjamin,Alive,Poopybutthole,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/34.jpeg,3
35,Bepisian,Alive,Alien,Bepisian,unknown,Bepis 9,Bepis 9,https://rickandmortyapi.com/api/character/avatar/35.jpeg,4
36,Beta-Seven,Alive,Alien,Hivemind,unknown,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/36.jpeg,1
37,Beth Sanchez,Alive,Human,,Female,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/37.jpeg,1
38,Beth Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/38.jpeg,8
39,Beth Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/39.jpeg,1
40,Beth's Mytholog,Dead,Mythological Creature,Mytholog,Female,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/40.jpeg,1
41,Big Boobed Waitress,Alive,Mythological Creature,,Female,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/41.jpeg,1
42,Big Head Morty,unknown,Human,Human with giant head,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/42.jpeg,1
43,Big Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/43.jpeg,1
44,Body Guard Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/44.jpeg,1
45,Bill,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/45.jpeg,1
46,Bill,unknown,Animal,Dog,Male,Earth (Replacement Dimension),unknown,https://rickandmortyapi.com/api/character/avatar/46.jpeg,1
47,Birdperson,Alive,Alien,Bird-Person,Male,Bird World,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/47.jpeg,7
48,Black Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/48.jpeg,2
49,Blamph,Alive,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/49.jpeg,1
50,Blim Blam,Alive,Alien,Korblock,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/50.jpeg,1
51,Blue Diplomat,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/51.jpeg,1
52,Blue Footprint Guy,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/52.jpeg,1
53,Blue Shirt Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/53.jpeg,1
54,Bobby Moynihan,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/54.jpeg,1
55,Boobloosian,Dead,Alien,Boobloosian,unknown,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/55.jpeg,2
56,Bootleg Portal Chemist Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/56.jpeg,1
57,Borpocian,Alive,Alien,Elephant-Person,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/57.jpeg,1
58,Brad,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/58.jpeg,4
59,Brad Anderson,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/59.jpeg,1
60,Calypso,Dead,Human,Superhuman,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/60.jpeg,1
61,Campaign Manager Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/61.jpeg,1
62,Canklanker Thom,Dead,Alien,Gromflomite,Male,Gromflom Prime,unknown,https://rickandmortyapi.com/api/character/avatar/62.jpeg,1
63,Centaur,Alive,Mythological Creature,Centaur,Male,unknown,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/63.jpeg,1
64,Chris,Dead,Alien,Organic gun,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/64.jpeg,1
65,Chris,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,Rick's Battery Microverse,https://rickandmortyapi.com/api/character/avatar/65.jpeg,1
66,Coach Feratu (Balik Alistane),Dead,Mythological Creature,Vampire,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/66.jpeg,1
67,Collector,Alive,Alien,Light bulb-Alien,Male,The Menagerie,The Menagerie,https://rickandmortyapi.com/api/character/avatar/67.jpeg,1
68,Colossus,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/68.jpeg,1
69,Commander Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/69.jpeg,1
70,Concerto,Dead,Humanoid,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/70.jpeg,1
71,Conroy,Dead,Robot,,unknown,Earth (Replacement Dimension),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/71.jpeg,1
72,Cool Rick,Alive,Human,,Male,Earth (K-83),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/72.jpeg,1
73,Cop Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/73.jpeg,1
74,Cop Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/74.jpeg,1
75,Courier Flap,Alive,Alien,,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/75.jpeg,1
76,Cousin Nicky,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/76.jpeg,1
77,Cowboy Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/77.jpeg,1
78,Cowboy Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/78.jpeg,2
79,Crab Spider,Alive,Alien,Animal,unknown,Hideout Planet,Hideout Planet,https://rickandmortyapi.com/api/character/avatar/79.jpeg,1
80,Creepy Little Girl,Alive,Human,,Female,unknown,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/80.jpeg,1
81,Crocubot,Dead,Animal,Robot-Crocodile hybrid,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/81.jpeg,1
82,Cronenberg Rick,unknown,Cronenberg,,Male,Cronenberg Earth,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/82.jpeg,2
83,Cronenberg Morty,unknown,Cronenberg,,Male,Cronenberg Earth,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/83.jpeg,2
